Plant url,Common name,Common Name - MBG,Botanical name,Type,Family,Native range,Zone,Zone low,Zone high,Height,Height low,Height high,Unit,Spread,Spread low,Spread high,Unit,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Attracts,Fruit,Leaf,Other,Tolerate,Culture,Noteworthy characteristics,Problems,Garden uses
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=277408&isprofile=1&basic=Boltonia+Asteroides+var.+latisquama,Snowbank Boltonia,,Boltonia Asteroides var. latisquama, Herbaceous perennial, Asteraceae, Central United States, 4 to 9, 4 , 9, 4.00 to 5.00 feet, 4.00 ,5.00,feet, 2.00 to 3.00 feet, 2.00 ,3.00,feet, August to September, Lilac purple with yellow center, Full sun, Medium, Medium, Naturalize, Showy, Butterflies,,,," Clay Soil, Wet Soil","
Culture
Easily grown in average, medium moisture, well-drained soils in full sun.  Tolerates a wide range of soils including moderately dry ones.  Plants grown in part shade or in rich, moist soils tend to flop and need support.  Plants grown in drier soils will grow shorter, but often less vigorously with inferior flowering.  If support becomes an issue, plant stems may be pinched or cut back by 1/3, in somewhat the same way as with many asters, in late spring to early summer to reduce plant height and minimize support needs.  Slowly spreads by creeping rhizomes.  Easily grown from seed.
","
Noteworthy Characteristics
Boltonia asteroides, commonly called false chamomile or false aster, is a rhizomatous perennial which typically grows to 5-6’ tall on erect, usually branching stems clad with alternate, linear, lance-shaped, stalkless, gray-green leaves (to 5” long).  Tiny, daisy-like flowers (to 3/4” diameter) in loose panicles typically cover this aster-like plant with a profuse bloom from late summer to early fall (August-September).  Flowers typically have white rays with yellow center disks, but sometimes the rays are pink-tinged, violet or purple.  Fruits are seed-like achenes.  This boltonia is native to wet prairies, wet meadows, marshes, stream banks and pond peripheries in eastern and central North America from North Dakota to Maine south to Florida and Texas plus Manitoba and Saskatchewan with disjunct populations in Oregon and Idaho.   

Var. latisquama features slightly larger flower heads (to 1” across) which bloom in denser inflorescences.  Ray flowers are violet blue.  Native to the central U.S. from North Dakota to Wisconsin south to Oklahoma and Arkansas with a disjunct population in New England.Genus name honors James Bolton (1735-1799), English botanist.Specific epithet means resembling asters in obvious reference to flower similarity.
","
Problems
No serious insect or disease problems.  Taller plants may need support.  Susceptible to powdery mildew.
","
Garden Uses
Naturalized areas, cottage gardens or native plant gardens.  May be used in border backgrounds, however species plants are somewhat weedy and several varieties and cultivars might be better border selections.
",
not found,Sea Oxeye,x,Borrichia Frutescens,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=264583&isprofile=1&basic=Bougainvillea,Bougainvillea,,Bougainvillea Glabra, Vine, Nyctaginaceae,, 9 to 11, 9 , 11, 15.00 to 40.00 feet, 15.00 ,40.00,feet, 15.00 to 40.00 feet, 15.00 ,40.00,feet, Seasonal bloomer," Purple, red, pink and yellow", Full sun, Medium, Medium, Annual, Showy,,,, Thorns, Drought,"
Culture
Grows best in full sun or light shade in well-drained, acid soils. Bougainvillea can tolerate hot, dry locations fairly well and flowers bountifully in full sun with regular watering. Chlorosis can be a problem in alkaline soil. Regular pruning may be necessary to shape the plant or direct its growth, it tolerates trimming well. Be careful when pruning to avoid injury from the 1 to 2 inch long thorns. In St. Louis, to bring bougainvillea into flower, a dormant period at a low temperature is essential in winter. The plant will drop most of its leaves and you should stop fertilizing. From March on, it must be given a well-lit, warm position. Late in May, it is best placed outdoors. If pruning is required this should be done immediately after flowering. Pinching the tips of new growth will encourage branching. Water freely in summer and sparingly in the winter. Fertilize every two weeks during the growing season.
","
Noteworthy Characteristics
The 14 species of this South American genus in the four-o-clock family, seen in warm-temperate to tropical regions as spectacular climbers, are really scrambling shrubs and usually remain fairly compact or behave as ground covers if left free standing. Leaves are thin, sometimes downy, and broadly elliptical with pointed tips; stems are protected by long narrow thorns, found at the leaf axils. Foliage is evergreen or deciduous, depending on the species and climate. True flowers, in groups of 1 to 3 are tubular, creamy white to yellow and around 1 inch wide, largely hidden by brightly colored petal-like bracts. In the St. Louis area, these plants are a shrubby vine that can be grown in greenhouses, sun porches or in containers or baskets outdoors in the summer months.Genus name honors Louis Antoine de Bougainville (1729-1811), sailor and explorer, who sailed round the world 1767-1769.
","
Problems
Mealybug and scale can be a problem indoors and aphids can be troublesome outdoors. Keep plants out of high traffic areas to avoid injury from the thorns. For more information see: Problems Common to Many Indoor Plants
","
Garden Uses
Plants can be grown in containers and used around pools, giving a distinctive southern feel to an area. They can also be espaliered or trained on a standard or grown in a large basket. They are large billowing plants that have a nice texture as well as colorful flower bracts. In a greenhouse or sunroom, they will require ample room to spread.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285228&isprofile=1&basic=Bouteloua+Curtipendula,Sideoats Grass,,Bouteloua Curtipendula, Ornamental grass, Poaceae, North and South America, 4 to 9, 4 , 9, 1.50 to 2.50 feet, 1.50 ,2.50,feet, 1.50 to 2.00 feet, 1.50 ,2.00,feet, July to August, Purplish, Full sun, Dry to medium, Low, Ground Cover," Showy, Good Cut, Good Dried", Birds,, Good Fall,," Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution","
Culture
Easily grown in average, dry to medium moisture soils in full sun. Tolerates wide range of soil conditions from well-drained sandy soils to heavy clays. May be grown from seed and may self-seed in the garden in optimum growing conditions. Cut clumps to the ground in late winter.
","
Noteworthy Characteristics
Bouteloua curtipendula, commonly called sideoats grama, is a Missouri native grass which is noted for the distinctive arrangement of oat-like seed spikes which hang from only one side of its flowering stems. Typically occurs in glades, prairies, open rocky woodlands and along railroad tracks throughout most of the State. Narrow, bluish-gray leaf blades (to 1/4"" wide) typically form a dense clump growing 1-1.5' tall. Foliage turns golden brown in autumn, sometimes also developing interesting hues of orange and red. Inflorescences of purplish-tinged flowers appear on arching stems above the foliage in early to mid summer, typically bringing the total height of the clump to 3' tall. Inflorescences fade to tan as the seeds mature.Genus name honors two Spanish brothers Claudius (d. 1842) and Exteban Boutelou (d. 1813) professors of botany and agriculture respectively.
","
Problems
No serious insect or disease problems.
","
Garden Uses
Mass in meadows, prairies, slopes, native plant gardens or naturalized areas. Notwithstanding the excellent ornamental features of this grass, it may also be grown as a turf grass and regularly mowed to 2-4 inches tall.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=242377&isprofile=1&basic=Bouteloua+Gracilis,Blue Grama,,Bouteloua Gracilis, Ornamental grass, Poaceae," Southern and western United States, Mexico", 3 to 10, 3 , 10, 0.75 to 2.00 feet, 0.75 ,2.00,feet, 1.50 to 2.00 feet, 1.50 ,2.00,feet, June to August, Reddish-purple, Full sun, Dry to medium, Low,," Showy, Good Dried", Birds,,,," Drought, Erosion, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution","
Culture
Easily grown in average, dry to medium, well-drained soils in full sun. Tolerates a wide range of soils, except poorly-drained, wet ones. Excellent drought tolerance. Freely self-seeds. Cut to the ground in late winter before new shoots appear.
","
Noteworthy Characteristics
Bouteloua gracilis, commonly called blue grama or mosquito grass, is a tufted, warm season, Missouri native grass noted for its distinctive arrangement of mosquito larvae-like seed spikes which hang from only one side of its flowering stems.  It is native to prairies, plains, open rocky woodlands and along railroad tracks throughout the Western U.S. It was a dominant grass of the dry shortgrass prairies.  Narrow, bluish-gray leaf blades (to 1/4” wide) typically form a dense clump growing 12-15"" tall.  Foliage turns golden brown in autumn, sometimes also developing interesting hues of orange and red.  Inflorescences of purplish-tinged flowers appear on arching stems above the foliage in early to mid summer, typically bringing the total height of the clump to 20"" tall.Genus name honors two Spanish brothers Claudius (d. 1842) and Exteban Boutelou (d. 1813) professors of botany and agriculture respectively.Specific epithet from Latin means slender or graceful.
","
Problems
No serious insect or disease problems.
","
Garden Uses
Small size makes blue grama grass an excellent selection for rock gardens where it can be used as a specimen or in small groups. Also an excellent choice for naturalized areas, native plant gardens, unmowed meadows, prairie areas or other informal areas in the landscape, especially where drought tolerant plants are needed. Can also be grown as a turf grass and regularly mowed to 2 inches high. Flower spikes are an excellent addition for dried flower arrangements.
",
not found,Scarlet Bouvardia,x,Bouvardia Ternifolia,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=358475&isprofile=1&basic=Strawflower,Strawflower,,Bracteantha Bracteata, Herbaceous perennial, Asteraceae, Crete, 9 to 10, 9 , 10, 2.00 to 3.00 feet, 2.00 ,3.00,feet, 2.00 to 3.00 feet, 2.00 ,3.00,feet, May, Yellow-orange, Full sun to part shade, Dry to medium, Medium,," Showy, Good Cut, Good Dried",,, Colorful,," Drought, Dry Soil, Shallow-Rocky Soil","
Culture
Winter hardy to USDA Zones 9-10 where it is easily grown in average, neutral to alkaline, dry to medium moisture, well-drained soils in full sun to part shade.  Best in sandy/gritty soils.  Superior soil drainage is a key to growing this plant well.  Start seed (if available) indoors 6-8 weeks before last frost date.  Set seedlings or purchased plants out after last frost date.  Containers may be brought indoors before first frost for overwintering or cuttings may be taken in late summer for overwintering.
","
Noteworthy Characteristics
Helichrysum heldreichii, commonly known as strawflower or everlasting, is a tender perennial or subshrub that typically grows in a mound to 2-3’ tall and as wide on woody-based stems clad with alternate, simple, linear leaves (to 3” long) covered with silvery-white downy hairs.  It is native to chalky-limestone cliffs in Crete where it is currently classified as “Vulnerable” as per the 1995 Red Data Book of Rare and Threatened Plants of Greece.  Inflorescence is a compound terminal corymb (flowers in clusters) of numerous, small, yellow-orange disk florets (rays absent) subtended by pale yellow involucre bracts.  Flowers bloom in May.  Flowers are popular additions to dried arrangements because the yellow florets and bracts retain their yellow color after being cut and dried, hence the common name of everlasting.  Fruits are seed-like achenes.Genus name comes from the Greek words helios meaning the sun and chrysos meaning golden.Specific epithet honors Theodor H.H. von Heldreich (1822-1902), German botanist who settled in Greece where he reportedly discovered 7 new genera and over 700 new species of plants.
","
Problems
No known serious insect or disease problems.  Susceptible to root rot, particularly in poorly-drained soils.  Powdery mildew and rust may appear.
","
Garden Uses
May be difficult to locate this plant in nurseries.  It makes an interesting addition to rock gardens or border fronts where winter hardy.  Where not winter hardy, grow in containers that are brought indoors for overwintering.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=278099&isprofile=1&basic=Brassica+Juncea,Oriental Mustard,,Brassica Juncea, Annual, Brassicaceae, Russia to central Asia, 2 to 11, 2 , 11, 1.00 to 1.50 feet, 1.00 ,1.50,feet, 1.00 to 1.50 feet, 1.00 ,1.50,feet, Flowers not showy,, Full sun, Medium, Low," Annual, Vegetable",,,,,,,"
Culture
Easily grown as an annual in fertile, organically rich, consistently moist but well-drained soils in full sun.   Tolerates light shade.  For culinary purposes, certain plants in this genus may be grown in home gardens by seed as annuals for harvest of mustard greens.  Sow seeds directly in the ground in early spring 3/4” to 1” apart with 2’ between rows.  Thin to 4-6” apart.  Floating row covers are useful.  Best to water plants early in the day so that they will dry off before nightfall, thus reducing the likelihood of attracting fungal diseases.   Crop should be ready to harvest 40-50 days after planting.  Smaller and younger leaves are usually milder than larger and more mature leaves.  Leaves are stronger-flavored as plants begin to bolt.
","
Noteworthy Characteristics
Brassica juncea, commonly known as Chinese mustard, brown mustard, Indian mustard, or leaf mustard, is an annual herb that is native to southern and eastern Asia.  It has been cultivated for food in Europe and Asia for hundreds of years.  It has given rise to a diverse range of leaf vegetables, little known in Europe, but popular in eastern Asia, including various Chinese mustard greens and Japanese mizuna.  

This plant has been much cultivated in some areas for harvest of spring mustard greens which may be added raw to salads.  Older leaves are often boiled before eating.  Garden plants typically grow to 1-2’ tall, featuring short, petiolate, elliptic to obovate basal leaves (to 1’ long) with 2-3 lobes per side and upper stem leaves which are much smaller and entire.  Leaf edges are toothed, scalloped or frilled.  Masses of bright, yellow, 4-petaled flowers mature to 1.5” long, but are not ornamentally attractive.  

Although extensively grown as a vegetable for its leaves, this plant is also often grown in some areas for its pungent seeds which are used to flavor many dishes and for its seed oil which is used in Asia for cooking.  Pods containing smooth brown seeds mature in summer.  Seed is the source of brown mustard.   

This plant has also developed a reputation outside the culinary area as a somewhat invasive weed (it is currently included on invasive species lists in Michigan, Florida and Alaska).Genus name comes from the classical Latin name for cabbage.Specific epithet means rush-like.
","
Problems
No serious insect or disease problems.  Flea beetles, caterpillars, aphids, snails and slugs are the most frequent pests.
","
Garden Uses
Typically grown in the U.S. from seed in home vegetable gardens, but not as an ornamental plant.  Young plants can be used raw in salads, or steamed or stir-fried when more mature.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=269745&isprofile=1&basic=Brassica+Oleracea,Ornamental Kale,,Brassica Oleracea, Annual, Brassicaceae,, 2 to 11, 2 , 11, 1.00 to 1.50 feet, 1.00 ,1.50,feet, 1.00 to 1.50 feet, 1.00 ,1.50,feet, Rarely flowers,, Full sun, Medium, Low," Annual, Vegetable",,,, Colorful,,,"
Culture
Easily grown in organically rich, consistently moist, well-drained loams in full sun.  Kale is a cool weather vegetable that is best grown in the cool temperatures of fall.  Leaves typically acquire their best flavor after the first fall frost.  It may also be grown in early spring.  If grown in summer, however, plants will need some afternoon shade, perhaps to simply survive.  Plants perform poorly when daytime temperatures begin to consistently exceed 80 degrees F.  For spring plantings, sow seed indoors about 6-8 weeks prior to last spring frost date.  In the alternative, transplants may be purchased from local nurseries.  In either case, the seedlings/transplants should be planted in the garden about 1-2 weeks prior to last spring frost date.  For fall plantings, sow seed indoors in early July and plant the seedlings in the garden in mid-August.  Plants tolerate light frosts.  Depending on temperatures, plants may survive to Thanksgiving or into December in some years.  In mild winter climates, plants often survive winter and continue to produce leaves until they bolt in spring.  Apply mulch around plants to protect the shallow roots, reduce weeds and retain soil moisture.  Rotate crops to avoid soil borne diseases.  Plants may also be grown in containers.
","
Noteworthy Characteristics
Brassica oleracea (Acephala Group), commonly called kale, is a cool weather vegetable that is grown for harvest of its edible leaves.  Although very similar to cabbage, kale is distinguished by having loose, upright, wavy-edged leaves that do not form a head (acephala from Greek means headless).  Cabbage forms heads.  Leaves are typically light green to blue green, but ornamental kales (grown primarily for ornamental foliage) come in leaf colors ranging from purple to red to pink to white.  Acephala Group also includes genetically similar spring greens and collard greens.  Kale is a biennial that is grown in St. Louis as an annual.  Plants will grow to 18"" tall.  Leaves may be harvested when they reach the approximate size of a human hand.  Kale belongs to the Brassica family which includes other cool season vegetables such as cabbage, Brussels sprouts, broccoli, cauliflower and kohlrabi.Genus name comes from the classical Latin name for cabbage.Specific epithet means of the vegetable garden.
","
Problems
Watch for cabbageworms, cabbage loopers, flea beetles, caterpillars, thrips, slugs and aphids.  Root maggots may be a problem in some areas.  Potential disease problems include leaf spots, blackleg, black rot and yellows.
",,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280228&isprofile=1&basic=Breynia+Disticha,Snow on the Mountain,,Breynia Disticha, Broadleaf evergreen, Phyllanthaceae, Pacific Islands, 10 to 11, 10 , 11, 2.00 to 4.00 feet, 2.00 ,4.00,feet, 2.00 to 4.00 feet, 2.00 ,4.00,feet, Flowers not showy, Green, Full sun to part shade, Medium, Low, Annual, Insignificant,,," Colorful, Evergreen",,,"
Culture
Winter hardy to USDA Zones 10-11. In St. Louis, plants are best grown in containers and overwintered in humid, cool but frost-free locations such as large sunrooms, porches or greenhouses. They also may be grown as bedding plants or as a ground cover. Cuttings taken in late summer can be overwintered. These plants can be very difficult to overwinter in dry indoor conditions where they tend to drop all of their leaves. Grow in moderately rich, medium moisture, well-drained soils in full sun to part shade. Best foliage color usually develops in full sun. Tolerates wide range of soils, but prefers organically rich ones with consistent moisture. Periodic light pruning during the growing season stimulates new foliage growth.
","
Noteworthy Characteristics
Breynia disticha, commonly called snow bush, is a tropical shrub that typically grows 2-4’ tall. It is grown for its attractive red zigzag stems and variegated foliage. Elliptic to ovate green leaves (to 1” long) are liberally mottled with white. Cultivars of this species feature leaves mottled with pink, red and purple. Small greenish apetalous flowers are insignificant. Synonymous with B. disticha.Genus name honors Jacob Breyne (1637-1697), merchant in Danzig and his son Johann Philipp Breyne (1680-1764), physician in Danzig.
","
Problems
No serious insect or disease problems. Watch for caterpillars and spider mites. For more information see: Problems Common to Many Indoor Plants
","
Garden Uses
Container foliage plant. Also may be sheared and grown as a ground cover or bedding plant. Popular hedge in tropical climates.
",
not found,Big Quaking Grass,x,Briza Maxima,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=285192&isprofile=1&basic=Briza+Media,Quaking Grass,,Briza Media, Ornamental grass, Poaceae, Eurasia, 4 to 8, 4 , 8, 2.00 to 3.00 feet, 2.00 ,3.00,feet, 1.00 to 1.50 feet, 1.00 ,1.50,feet, May to June, Green, Full sun, Medium, Low, Naturalize, Showy,,,,, Black Walnut,"
Culture
Easily grown in average, medium, well-drained soil in full sun. Tolerant of a wide range of soils. Cut back clumps immediately after seed heads disintegrate to encourage additional foliage growth. Clumps may be mowed on high setting in late fall or dead foliage can be cleared in late winter.
","
Noteworthy Characteristics
Briza media, commonly called common quaking grass, is a rhizomatous, creeping, warm season ornamental grass which features a clump of narrow, erect, green leaves (1/4 to 1/2"" wide) typically growing 12 to 15"" tall. Tiny, greenish flowers appear in spring in loose, airy panicles atop stems rising well above the foliage clump to 24-36"" tall. Flowers give way to flattened hop-like, purplish-maturing-to-tan seed heads which dangle on thread-like stems and quiver in the slightest breeze, thus giving rise to the common name.Genus name comes from the Greek name for one of the food grains, possibly rye.Specific epithet means medicinal.Seed heads which dangle on thread-like stems and quiver in the slightest breeze has giving rise to the common name.
","
Problems
No serious insect or disease problems but is intolerant of hot summers.
","
Garden Uses
Best when massed. Effective in borders, cottage gardens, naturalized areas and meadows. May be too weedy for borders.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=243231&isprofile=1&basic=Brunnera+Macrophylla,Siberian Bugloss,,Brunnera Macrophylla, Herbaceous perennial, Boraginaceae, Turkey, 3 to 8, 3 , 8, 1.00 to 1.50 feet, 1.00 ,1.50,feet, 1.50 to 2.50 feet, 1.50 ,2.50,feet, April to May, Intense blue, Part shade, Medium, Low," Ground Cover, Naturalize", Showy,,,,, Rabbit,"
Culture
Easily grown in average, medium moisture, well-drained soil in part shade. Prefers consistently moist, organically rich soils in shady areas. Generally intolerant of dry soils, but tolerates some dryness better than most other cultivars of this species. Foliage may scorch in hot summer sun. Plants prefer cool summers, and generally will not perform well in the hot and humid summer conditions of the deep South (USDA Zones 7-9). Clumps slowly spread by creeping rhizomes to form thick ground covers. Plants may self seed in optimum growing conditions, but seedlings of variegated forms may not come true (may lose variegation).
","
Noteworthy Characteristics
Brunnera macrophylla, commonly called Siberian bugloss, is a rhizomatous, clump-forming perennial that is primarily grown in shady areas for its attractive heart-shaped, dark green, basal foliage. Small, forget-me-not-like flowers of light blue with yellow centers bloom in airy, branched racemes rising well above the foliage on slender stems to 18"" tall in spring. Basal leaves form a foliage mound which remains attractive throughout the growing season. Smaller upper leaves are elliptic.  

Brunnera macrophylla is synonymous with and sometimes sold as Anchusa myosotidiflora.Genus name honors Swiss botanist Samuel Brunner (1790-1844).Specific epithet from Latin means large leaved.Common name of bugloss comes from Greek meaning ox tongue in probable reference to the roughness and shape of the leaves.
","
Problems
No serious insect or disease problems. Slugs and snails are occasional visitors.
","
Garden Uses
Specimen, groups or mass as a ground cover. Borders, woodland gardens, naturalized areas or along streams or ponds. Containers.
",
not found,Shady Lady Black Olive,x,Bucida Buceras,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
not found,Verawood,x,Bulnesia Arborea,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
not found,Gumbo Limbo,x,Bursera Simaruba,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=276722&isprofile=1&basic=Butia+Capitata,Butia Palm,,Butia Capitata, Palm or Cycad, Arecaceae," Brazil, Uruguay, Argentina", 9 to 11, 9 , 11, 20.00 to 35.00 feet, 20.00 ,35.00,feet, 10.00 to 15.00 feet, 10.00 ,15.00,feet, July to August, Yellow, Full sun to part shade, Medium, Medium,," Showy, Fragrant",," Showy, Edible", Evergreen, Winter Interest,,"
Culture
Winter hardy to USDA Zones 9 (possibly 8b) to 11 where plants are best grown in moist, fertile, well-drained soils in full sun.  Tolerates part shade.  Established plants have some drought tolerance (deeper roots than found on most palms).  Prefers moist organic soils.  Propagate from seed in spring.
","
Noteworthy Characteristics
Butia capitata, commonly called yatay palm, pindo palm or jelly palm, is a palm tree that typically grows to 20-35’ tall and to 10-15’ wide.  It is native from southern Brazil to Paraguay.  This palm is noted for its (a) comparatively short but stout solitary trunk (to 15’ long and 1.5’ diameter) which is usually covered with persistent leaf bases from the stalks of fallen leaves, (b) arching, thick-textured, marginally-spined pinnate leaves (8-10’ long) that often form a dense but loose crown, each leaf having 25-60 pairs of narrow pointed leaflets which are usually grayish green, but sometimes deep green or silvery blue, (c) axillary flower clusters bearing tiny, yellowish, fruity-scented, unisexual flowers of both sexes (male with 6 stamens and female with 3 stigmas and a solitary pistil), and (d)  orange, rounded, edible fruits (each to 1” wide) with a fibrous but juicy flesh surrounding a hard stone.

This species is frequently planted in the warmer parts of the U.S., as far north as South Carolina and San Francisco. 

Sweet fruit pulp is used to make jellies or fermented to make wine.Genus name comes from the vernacular name in Brazil for a species of palm (B. capitata).Specific epithet means growing in a dense head.
","
Problems
No serious insect or disease problems.
","
Garden Uses
Excellent tropical ornamental tree for the landscape.  One of the hardiest of the feather-leaved palms.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=278320&isprofile=1&basic=Buxus+Harlandii,Harland Boxwood,,Buxus Harlandii, Broadleaf evergreen, Buxaceae," Southern China, Hong Kong", 7 to 9, 7 , 9, 2.00 to 3.00 feet, 2.00 ,3.00,feet, 2.00 to 3.00 feet, 2.00 ,3.00,feet, April to May, Pale yellow, Full sun to part shade, Medium, Medium, Hedge," Showy, Fragrant",,, Evergreen, Winter Interest, Drought,"
Culture
Winter hardy to USDA Zones 7-9 where it is easily grown in evenly moist but well-drained loams (e.g., sand-clay mixture) in full sun to part shade.  Plants will grow well in a variety of part shade situations, including open sun-dappled conditions or light shade with several hours of morning sun or early afternoon sun.  When grown in full sun, plant foliage is more likely to bronze in winter.  Limited cold tolerance.  Established plants have some drought tolerance.  Should be grown in a protected location sheltered from strong winds in the northern parts of Zone 7 where it is marginally winter hardy.  Winter winds can remove moisture from leaves at a rapid rate, often resulting in dehydration and bronzing.  True species may be winter hardy to Zone 8, but B. harlandii of gardens (form of B. microphylla - see below) may have slightly better winter hardiness.  

Plants prefer soils with a pH of slightly acidic to slightly alkaline.  Plants are generally tolerant of pruning and shearing.  Pruning should never be done prior to the last spring frost date.  Pruning too early in spring often promotes tender new growth that may be damaged or killed by a late spring frost.  Avoid cultivating around plants because they have shallow roots.  Roots appreciate a good organic (e.g., bark or compost) mulch (1-2” thick).  Thin plants and remove dead/damaged branches annually to improve air circulation.  Carefully remove heavy snow accumulations as quickly as practicable to minimize stem/branch damage.
","
Noteworthy Characteristics
Buxus harlandii, commonly known as Harland boxwood, is a small, bushy, multi-stemmed broadleaf evergreen shrub with a rounded vase-shaped form.  It typically grows to 2-3’ (infrequently to 5’) tall and as wide.  It is native to southern China where it is often found growing in open wooded areas and stream margins.  Bright green leaves are oblanceolate to obovate-oblong (to 1.25” long).  Each leaf has an indentation at the leaf tip.  Fragrant pale yellow flowers bloom in April–May.  Staminate flowers are stalked but pistilate ones are sessile. Attractive white trunk accents.

Many plants sold in North America under this species name are in reality forms of Buxus microphylla.Genus name comes from the Latin name for plants in this genus.Common name of boxwood is in reference to the prior use of the wood of some plants in he genus to make boxes.  Another theory on common name is that the name is in reference to young plant stems which are quadrangular (square box cross section).
","
Problems
Harland boxwood requires little special care other than annual pruning.  No serious insect or disease problems.  Some susceptibility to blights and leaf spot.  Root rot can also be a problem in poorly-drained soils.  The three main insect pests of boxwoods are boxwood leafminer, boxwood mite and boxwood psyllid.  In the deep South, nematodes are of concern.  New growth is particularly susceptible to winter damage.
","
Garden Uses
Hedge, borders, foundations.  Good specimen/accent.  Excellent selection for bonsai.  Sometimes grown in containers in the deep South.
",
http://www.missouribotanicalgarden.org//PlantFinder/PlantFinderDetails.aspx?taxonid=280679&isprofile=1&basic=Caesalpinia+Gilliesii,Bird of Paradise Bush,,Caesalpinia Gilliesii, Broadleaf evergreen, Fabaceae," Argentina, Uruguay", 8 to 11, 8 , 11, 7.00 to 10.00 feet, 7.00 ,10.00,feet, 7.00 to 10.00 feet, 7.00 ,10.00,feet, July to August, Yellow with bright red stamens, Full sun, Medium, Medium, Hedge, Showy, Hummingbirds, Showy, Evergreen, Winter Interest,,"
Culture
Winter hardy to USDA Zones 8-11 (perhaps Zone 7 in a protected location) where it is easily grown in medium moisture, moderately fertile, well drained soils in full sun.  Tolerates some light shade, but best flowers occur in full sun.  Established plants have good drought tolerance.  Prune to shape as needed.  Generally survives temperatures to 30 degrees F. (sometimes with brief dips into the high 20s).   Often propagated by seed.
","
Noteworthy Characteristics
Caesalpinia gilliesii, commonly called bird-of-paradise, is an evergreen (semi-deciduous to deciduous in the northern parts of its growing range) shrub or small tree in the pea family that typically grows to 10’ tall but occasionally rises to as much as 15’.  It is native to subtropical areas of Argentina and Uruguay, but is now widely grown in tropical and warm temperate regions around the world for its attractive yellow flowers with bright red stamens which bloom in summer in upright open racemes on branches clad with fern-like bipinnate compound green leaves.  It was introduced into the southwestern U.S. a number of years ago where it has now escaped gardens and naturalized from California and Nevada to Oklahoma and Texas plus Georgia.   It is unrelated to Strelitzia reginae of South Africa which is a smaller clump-forming perennial that is also commonly known as bird-of-paradise.  

Each leaf (4-8” long) has 8-12 pairs of pinnae with each pinna having 7-11 pairs of elliptic leaflets (each to 1/2” long). Bruised foliage often has an unpleasant smell.  Five-petaled, pale yellow flowers (to 4-5” long), each featuring 10 showy red stamens, bloom in open terminal racemes in summer (July-August).  Flower is about 1” long, but the stamens protrude from the flower tube for another 3-4”.  Fruits are curved, flattened, linear to sickle-shaped, 8-10 seeded pods (each to 2-5” long) which split open at maturity to explosively expel seeds in all directions, thus facilitating naturalization in the landscape.Genus name honors Andrea Cesalpini (1524/25-1603), Italian botanist, philosopher, and physician to Pope Clement VIII.Specific epithet honors John Gillies (1792-1834), Scottish naval surgeon, who collected plants in Chile and Argentina.
","
Problems
No serious insect or disease problems.
","
Garden Uses
Hedge.  Screen.  Specimen. Background.
",
not found,Mexican Bird of Paradise,x,Caesalpinia Mexicana,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,
