Botanical Name,Page title,Expected Common Name,Wikipedia Page link,
Cupressus cashmeriana,Cupressus cashmeriana,Cupressus cashmeriana; Bhutan cypress; Kashmir cypress; weeping cypress; New World Species; New World Species,https://en.wikipedia.org/wiki/Cupressus_cashmeriana,
Curcuma longa,Turmeric,Turmeric,https://en.wikipedia.org/wiki/Turmeric,
Cyclamen hederifolium,Cyclamen,Cyclamen; sowbread; swinebread; floral trunks,https://en.wikipedia.org/wiki/Cyclamen,
Cymbalaria muralis,Cymbalaria muralis,Cymbalaria muralis; ivy-leaved toadflax; Kenilworth ivy; coliseum ivy; Oxford ivy; mother of thousands; pennywort; wandering sailor,https://en.wikipedia.org/wiki/Cymbalaria_muralis,
Cynoglossum amabile,Cynoglossum amabile,Cynoglossum amabile; Chinese hound's tongue; Chinese forget-me-not,https://en.wikipedia.org/wiki/Cynoglossum_amabile,
Cyphomandra betacea,Tamarillo,tamarillo; tamarillo; tree tomato; tomate de árbol; tomate andino; tomate serrano; blood fruit; tomate de yuca; tomate de españa; sachatomate; berenjena; tamamoro; terong Belanda,https://en.wikipedia.org/wiki/Tamarillo,
Cypripedium kentuckiense,Cypripedium kentuckiense,Cypripedium kentuckiense; Kentucky lady's slipper; southern lady's slipper,https://en.wikipedia.org/wiki/Cypripedium_kentuckiense,
Cystopteris protrusa,Cystopteris protrusa,Cystopteris protrusa; lowland bladderfern; lowland brittle fern; lowland fragile fern,https://en.wikipedia.org/wiki/Cystopteris_protrusa,
Cytisus kewensis,Cytisus,Cytisus; brooms,https://en.wikipedia.org/wiki/Cytisus,
Cytisus scoparius,Cytisus scoparius,Cytisus scoparius; common broom; Scotch broom; broom; common broom; Scotch broom; Scot's broom; English broom,https://en.wikipedia.org/wiki/Cytisus_scoparius,
Dactylorhiza majalis,Dactylorhiza majalis,broad-leaved marsh orchid; western marsh orchid; southern marsh orchid; Hebridean marsh orchid; narrow-leaved marsh orchid,https://en.wikipedia.org/wiki/Dactylorhiza_majalis,
Dalea candida,Dalea candida,Dalea candida; white prairie clover,https://en.wikipedia.org/wiki/Dalea_candida,
Dalea gattingeri,Dalea gattingeri,Dalea gattingeri; purpletassles; Gattinger prairie clover,https://en.wikipedia.org/wiki/Dalea_gattingeri,
Dalea purpurea,Dalea purpurea,Dalea purpurea; purple prairie clover,https://en.wikipedia.org/wiki/Dalea_purpurea,
Daphne mezereum,Daphne mezereum,Daphne mezereum; mezereum; mezereon; February daphne; spurge laurel; spurge olive,https://en.wikipedia.org/wiki/Daphne_mezereum,
Darmera peltata,Darmera,Darmera peltata; Indian rhubarb; umbrella plant; Darmera,https://en.wikipedia.org/wiki/Darmera,
Datura inoxia,Datura innoxia,Datura innoxia; inoxia; pricklyburr; recurved thorn-apple; downy thorn-apple; Indian-apple; lovache; moonflower; nacazcul; toloatzin; tolguache; toloache; sacred datura,https://en.wikipedia.org/wiki/Datura_innoxia,
Decodon verticillatus,Decodon verticillatus,Decodon verticillatus; Decodon; waterwillow; swamp loosestrife,https://en.wikipedia.org/wiki/Decodon_verticillatus,
Delphinium carolinianum,Delphinium carolinianum,Delphinium carolinianum; Carolina larkspur,https://en.wikipedia.org/wiki/Delphinium_carolinianum,
Delphinium exaltatum,Delphinium exaltatum,Delphinium exaltatum; tall larkspur,https://en.wikipedia.org/wiki/Delphinium_exaltatum,
Delphinium treleasei,not found,not found,not found,
Delphinium tricorne,Delphinium tricorne,Delphinium tricorne; dwarf larkspur,https://en.wikipedia.org/wiki/Delphinium_tricorne,
Dennstaedtia punctilobula,Dennstaedtia punctilobula,Dennstaedtia punctilobula; eastern hayscented fern; hay-scented fern,https://en.wikipedia.org/wiki/Dennstaedtia_punctilobula,
Deparia petersenii,Deparia petersenii,Deparia petersenii; Japanese lady fern,https://en.wikipedia.org/wiki/Deparia_petersenii,
Deschampsia cespitosa,Deschampsia cespitosa,Deschampsia cespitosa; tufted hairgrass; tussock grass,https://en.wikipedia.org/wiki/Deschampsia_cespitosa,
Desmanthus illinoensis,Desmanthus illinoensis,Desmanthus illinoensis; Illinois bundleflower; prairie-mimosa; prickleweed,https://en.wikipedia.org/wiki/Desmanthus_illinoensis,
Desmodium elegans,Desmodium elegans,Desmodium elegans,https://en.wikipedia.org/wiki/Desmodium_elegans,
Desmodium illinoense,Desmodium illinoense,Desmodium illinoense; Illinois ticktrefoil,https://en.wikipedia.org/wiki/Desmodium_illinoense,
Deutzia lemoinei,Deutzia,Deutzia,https://en.wikipedia.org/wiki/Deutzia,
Deutzia magnifica,not found,not found,not found,
Deutzia scabra,Deutzia scabra,Deutzia scabra,https://en.wikipedia.org/wiki/Deutzia_scabra,
Dianthus gratianopolitanus,Dianthus gratianopolitanus,Dianthus gratianopolitanus; Cheddar pink,https://en.wikipedia.org/wiki/Dianthus_gratianopolitanus,
Dianthus superbus,Dianthus superbus,Dianthus superbus; fringed pink; large pink,https://en.wikipedia.org/wiki/Dianthus_superbus,
Diarrhena americana,Diarrhena americana,Diarrhena americana; American beak grass; American beakgrain,https://en.wikipedia.org/wiki/Diarrhena_americana,
Diarrhena obovata,Diarrhena americana,Diarrhena americana; American beak grass; American beakgrain,https://en.wikipedia.org/wiki/Diarrhena_americana,
Dicentra cucullaria,Dicentra cucullaria,Dicentra cucullaria; Dutchman's breeches,https://en.wikipedia.org/wiki/Dicentra_cucullaria,
Diervilla rivularis,Diervilla rivularis,Diervilla rivularis; mountain bush-honeysuckle; hairy bush-honeysuckle,https://en.wikipedia.org/wiki/Diervilla_rivularis,
Diervilla sessilifolia,Diervilla sessilifolia,Diervilla sessilifolia; southern bush honeysuckle,https://en.wikipedia.org/wiki/Diervilla_sessilifolia,
Digitalis ferruginea,Digitalis ferruginea,Digitalis ferruginea; rusty foxglove,https://en.wikipedia.org/wiki/Digitalis_ferruginea,
Digitalis grandiflora,Digitalis grandiflora,Digitalis grandiflora; yellow foxglove; big-flowered foxglove; large yellow foxglove,https://en.wikipedia.org/wiki/Digitalis_grandiflora,
Dimorphotheca pluvialis,Dimorphotheca pluvialis,"Dimorphotheca pluvialis,; white African daisy; Cape marigold; weather prophet; Cape rain-daisy; ox-eye daisy; Cape daisy; rain daisy",https://en.wikipedia.org/wiki/Dimorphotheca_pluvialis,
Dionaea muscipula,Venus flytrap,Venus flytrap,https://en.wikipedia.org/wiki/Venus_flytrap,
Dioscorea alata,Dioscorea alata,Dioscorea alata; purple yam; ube; greater yam; Guyana arrowroot; ten-months yam; water yam; white yam; winged yam; violet yam; yam,https://en.wikipedia.org/wiki/Dioscorea_alata,
Diplazium pycnocarpon,Homalosorus,Homalosorus; Homalosorus pycnocarpos; narrow-leaved glade fern; narrow-leaved spleenwort; glade fern; Homalosorus pycnocarpos,https://en.wikipedia.org/wiki/Homalosorus,
Dipsacus fullonum,Dipsacus fullonum,Dipsacus fullonum; wild teasel; fuller's teasel,https://en.wikipedia.org/wiki/Dipsacus_fullonum,
Dirca palustris,Dirca palustris,Dirca palustris; eastern leatherwood,https://en.wikipedia.org/wiki/Dirca_palustris,
Dodecatheon meadia,Dodecatheon meadia,Dodecatheon meadia; shooting star,https://en.wikipedia.org/wiki/Dodecatheon_meadia,
Dracaena fragrans,Dracaena fragrans,Dracaena fragrans; cornstalk dracaena,https://en.wikipedia.org/wiki/Dracaena_fragrans,
Dracopis amplexicaulis,Dracopis,Dracopis; Dracopis amplexicaulis; clasping coneflower,https://en.wikipedia.org/wiki/Dracopis,
Dracunculus vulgaris,Dracunculus vulgaris,Dracunculus vulgaris; common dracunculus; dragon lily; dragon arum; black arum; voodoo lily; snake lily; stink lily; black dragon; black lily; dragonwort; ragons; drakondia,https://en.wikipedia.org/wiki/Dracunculus_vulgaris,
Dryopteris australis,not found,not found,not found,
Dryopteris celsa,Dryopteris,Dryopteris; wood ferns; male ferns; buckler ferns,https://en.wikipedia.org/wiki/Dryopteris,
Dryopteris clintoniana,Dryopteris clintoniana,Dryopteris clintoniana; Clinton's wood fern,https://en.wikipedia.org/wiki/Dryopteris_clintoniana,
Dryopteris wallichiana,Dryopteris wallichiana,Dryopteris wallichiana; alpine wood fern,https://en.wikipedia.org/wiki/Dryopteris_wallichiana,
Ecballium elaterium,Ecballium,Ecballium; Ecballium elaterium; squirting cucumber; exploding cucumber; Elaterium; Elaterin,https://en.wikipedia.org/wiki/Ecballium,
Echinacea angustifolia,Echinacea angustifolia,Echinacea angustifolia; narrow-leaved purple coneflower; blacksamson echinacea,https://en.wikipedia.org/wiki/Echinacea_angustifolia,
Echinacea pallida,Echinacea,Echinacea; coneflowers,https://en.wikipedia.org/wiki/Echinacea,
Echinacea simulata,Echinacea,Echinacea; coneflowers,https://en.wikipedia.org/wiki/Echinacea,
Echinacea tennesseensis,Echinacea tennesseensis,Echinacea tennesseensis; Tennessee coneflower; Tennessee purple coneflower,https://en.wikipedia.org/wiki/Echinacea_tennesseensis,
Echinops bannaticus,Echinops bannaticus,Echinops bannaticus; blue globe-thistle,https://en.wikipedia.org/wiki/Echinops_bannaticus,
Echinops sphaerocephalus,Echinops sphaerocephalus,Echinops sphaerocephalus; glandular globe-thistle; great globe-thistle; pale globe-thistle,https://en.wikipedia.org/wiki/Echinops_sphaerocephalus,
Echium candicans,Echium candicans,Echium candicans; pride of Madeira,https://en.wikipedia.org/wiki/Echium_candicans,
Echium vulgare,Echium vulgare,Echium vulgare; viper's bugloss; blueweed,https://en.wikipedia.org/wiki/Echium_vulgare,
Edgeworthia chrysantha,Edgeworthia chrysantha,Edgeworthia chrysantha; Oriental paperbush; mitsumata,https://en.wikipedia.org/wiki/Edgeworthia_chrysantha,
Elaeagnus multiflora,Elaeagnus multiflora,Elaeagnus multiflora; cherry elaeagnus; cherry silverberry; goumi; gumi; natsugumi,https://en.wikipedia.org/wiki/Elaeagnus_multiflora,
Elaeagnus umbellata,Elaeagnus umbellata,Elaeagnus umbellata; Japanese silverberry; umbellata oleaster; autumn olive; autumn elaeagnus; spreading oleaster,https://en.wikipedia.org/wiki/Elaeagnus_umbellata,
Eleocharis dulcis,Eleocharis dulcis,Eleocharis dulcis; Chinese water chestnut; water chestnut,https://en.wikipedia.org/wiki/Eleocharis_dulcis,
Eleocharis palustris,Eleocharis palustris,Eleocharis palustris; common spike-rush; creeping spike-rush; marsh spike-rush,https://en.wikipedia.org/wiki/Eleocharis_palustris,
Elephantopus carolinianus,Elephantopus carolinianus,Elephantopus carolinianus; Carolina elephantsfoot; leafy elephant's foot,https://en.wikipedia.org/wiki/Elephantopus_carolinianus,
Elettaria cardamomum,Elettaria cardamomum,Elettaria cardamomum; green ; true cardamom,https://en.wikipedia.org/wiki/Elettaria_cardamomum,
Elodea canadensis,Elodea canadensis,Elodea canadensis; American waterweed; Canadian waterweed; pondweed,https://en.wikipedia.org/wiki/Elodea_canadensis,
Elymus canadensis,Elymus canadensis,Elymus canadensis; Canada wild rye; Canadian wildrye,https://en.wikipedia.org/wiki/Elymus_canadensis,
Elymus hystrix,Elymus hystrix,Elymus hystrix; eastern bottlebrush grass; bottle-brush-grass,https://en.wikipedia.org/wiki/Elymus_hystrix,
Elymus virginicus,Elymus virginicus,Elymus virginicus; Virginia wildrye,https://en.wikipedia.org/wiki/Elymus_virginicus,
Enemion biternatum,Enemion biternatum,Enemion biternatum; false rue-anemone,https://en.wikipedia.org/wiki/Enemion_biternatum,
Ensete ventricosum,Ensete ventricosum,Ensete ventricosum; enset; ensete; Ethiopian banana; Abyssinian banana; false banana,https://en.wikipedia.org/wiki/Ensete_ventricosum,
Epimedium youngianum,Epimedium,Epimedium; barrenwort; bishop's hat; fairy wings; horny goat weed; yin yang huo,https://en.wikipedia.org/wiki/Epimedium,
Epipactis palustris,Epipactis palustris,Epipactis palustris; marsh helleborine,https://en.wikipedia.org/wiki/Epipactis_palustris,
Episcia cupreata,Episcia cupreata,Episcia cupreata; flame violet,https://en.wikipedia.org/wiki/Episcia_cupreata,
Eranthemum pulchellum,Eranthemum pulchellum,Eranthemum pulchellum,https://en.wikipedia.org/wiki/Eranthemum_pulchellum,
Eranthis hyemalis,Eranthis hyemalis,Eranthis hyemalis; winter aconite,https://en.wikipedia.org/wiki/Eranthis_hyemalis,
Erica arborea,Erica arborea,Erica arborea; tree heath; giant heather; briar root,https://en.wikipedia.org/wiki/Erica_arborea,
Ericameria nauseosa,Ericameria nauseosa,Ericameria nauseosa; Chamisa; rubber rabbitbrush; gray rabbitbrush,https://en.wikipedia.org/wiki/Ericameria_nauseosa,
Erigeron philadelphicus,Erigeron philadelphicus,Erigeron philadelphicus; Philadelphia fleabane; common fleabane; daisy fleabane; frost-root; marsh fleabane; poor robin's plantain; skervish; robin's-plantain,https://en.wikipedia.org/wiki/Erigeron_philadelphicus,
Erigeron pulchellus,Erigeron pulchellus,"Erigeron pulchellus; (Robin's plantain, blue spring daisy, hairy fleabane)",https://en.wikipedia.org/wiki/Erigeron_pulchellus,
Eriogonum umbellatum,Eriogonum umbellatum,Eriogonum umbellatum; sulphurflower buckwheat; sulphur flower,https://en.wikipedia.org/wiki/Eriogonum_umbellatum,
Eryngium aquaticum,Eryngium aquaticum,Eryngium aquaticum; rattlesnakemaster; marsh rattlesnake master; corn-snakeroot; bitter snakeroot; marsh eryngo,https://en.wikipedia.org/wiki/Eryngium_aquaticum,
Eryngium planum,Eryngium planum,Eryngium planum; blue eryngo; flat sea holly,https://en.wikipedia.org/wiki/Eryngium_planum,
Eryngium yuccifolium,Eryngium yuccifolium,Eryngium yuccifolium; rattlesnake master; button eryngo; button snake-root,https://en.wikipedia.org/wiki/Eryngium_yuccifolium,
Erysimum capitatum,Erysimum capitatum,Erysimum capitatum; sanddune wallflower; western wallflower; prairie rocket,https://en.wikipedia.org/wiki/Erysimum_capitatum,
Erysimum cheiri,Erysimum cheiri,Erysimum cheiri; wallflower,https://en.wikipedia.org/wiki/Erysimum_cheiri,
Erythrina crista-galli,Erythrina crista-galli,Erythrina crista-galli; cockspur coral tree,https://en.wikipedia.org/wiki/Erythrina_crista-galli,
Erythronium albidum,Erythronium albidum,Erythronium albidum; white fawnlily; white trout lily; adder's tongue; dog's-tooth violet; serpent's tongue; trout lily; deer tongue; yellow snowdrop.,https://en.wikipedia.org/wiki/Erythronium_albidum,
Erythronium americanum,Erythronium americanum,Erythronium americanum; trout lily; yellow trout lily; yellow dogtooth violet,https://en.wikipedia.org/wiki/Erythronium_americanum,
Etlingera elatior,Etlingera elatior,"Etlingera elatior; torch ginger; ginger flower; red ginger lily; torch lily; wild ginger; combrang, bunga kantan; Philippine wax flower; ගොඩ ඕලු (goda olu); ගොඩ නෙලුම් (goda nelum); සිද්ධාර්ථ (siddartha); Indonesian tall ginger; boca de dragón, rose de porcelaine; porcelain rose",https://en.wikipedia.org/wiki/Etlingera_elatior,
Eucalyptus cinerea,Eucalyptus cinerea,Eucalyptus cinerea; Argyle apple; mealy stringbark,https://en.wikipedia.org/wiki/Eucalyptus_cinerea,
Eucalyptus dalrympleana,Eucalyptus dalrympleana,Eucalyptus dalrympleana; mountain gum; mountain white gum; white gum; broad-leaved ribbon gum,https://en.wikipedia.org/wiki/Eucalyptus_dalrympleana,
Eucalyptus perriniana,Eucalyptus perriniana,Eucalyptus perriniana; spinning gum,https://en.wikipedia.org/wiki/Eucalyptus_perriniana,
Eucharis amazonica,Eucharis amazonica,Eucharis amazonica; Amazon lily,https://en.wikipedia.org/wiki/Eucharis_amazonica,
Euonymus americanus,Euonymus americanus,Euonymus americanus; strawberry bush; American strawberry bush; bursting-heart; hearts-a-bustin; hearts-bustin'-with-love,https://en.wikipedia.org/wiki/Euonymus_americanus,
Euonymus atropurpureus,Euonymus atropurpureus,Euonymus atropurpureus; American wahoo; eastern wahoo; burningbush; hearts bursting with love,https://en.wikipedia.org/wiki/Euonymus_atropurpureus,
Euonymus bungeanus,Euonymus,Euonymus; spindle; spindle tree; burning-bush; strawberry-bush; wahoo; wintercreeper; euonymus,https://en.wikipedia.org/wiki/Euonymus,
Euonymus europaeus,Euonymus europaeus,Euonymus europaeus; spindle; European spindle; common spindle,https://en.wikipedia.org/wiki/Euonymus_europaeus,
Eupatorium altissimum,Eupatorium altissimum,Eupatorium altissimum; tall thoroughwort,https://en.wikipedia.org/wiki/Eupatorium_altissimum,
Eupatorium capillifolium,Eupatorium capillifolium,Eupatorium capillifolium; dogfennel,https://en.wikipedia.org/wiki/Eupatorium_capillifolium,
Euphorbia cotinifolia,Euphorbia cotinifolia,Euphorbia cotinifolia; smoketree spurge; tropical smoke bush; Caribbean copper plant; Mexican shrubby spurge,https://en.wikipedia.org/wiki/Euphorbia_cotinifolia,
Euphorbia cyparissias,Euphorbia cyparissias,Euphorbia cyparissias; cypress spurge,https://en.wikipedia.org/wiki/Euphorbia_cyparissias,
Euphorbia lactea,Euphorbia lactea,Euphorbia lactea; mottled spurge; frilled fan; elkhorn; candelabra spurge; dragon bones; false cactus; hatrack cactus,https://en.wikipedia.org/wiki/Euphorbia_lactea,
Euphorbia marginata,Euphorbia marginata,Euphorbia marginata; snow-on-the-mountain; smoke-on-the-prairie; variegated spurge; whitemargined spurge,https://en.wikipedia.org/wiki/Euphorbia_marginata,
Euphorbia palustris,Euphorbia palustris,Euphorbia palustris; marsh spurge; marsh euphorbia,https://en.wikipedia.org/wiki/Euphorbia_palustris,
Eurybia divaricata,Eurybia divaricata,Eurybia divaricata; white wood aster,https://en.wikipedia.org/wiki/Eurybia_divaricata,
Eurybia furcata,Eurybia furcata,Eurybia furcata; forked aster,https://en.wikipedia.org/wiki/Eurybia_furcata,
Eurybia macrophylla,Eurybia macrophylla,Eurybia macrophylla; bigleaf aster; large-leaved aster; largeleaf aster; bigleaf wood aster,https://en.wikipedia.org/wiki/Eurybia_macrophylla,
Eurybia paludosa,Eurybia paludosa,Eurybia paludosa; southern swamp aster,https://en.wikipedia.org/wiki/Eurybia_paludosa,
Eutrochium dubium,Eutrochium dubium,Eutrochium dubium; coastal plain joe pye weed,https://en.wikipedia.org/wiki/Eutrochium_dubium,
Eutrochium fistulosum,not found,not found,not found,
Eutrochium maculatum,Eutrochium maculatum,Eutrochium maculatum; spotted joe-pyeweed,https://en.wikipedia.org/wiki/Eutrochium_maculatum,
Eutrochium purpureum,Eutrochium purpureum,Eutrochium purpureum; purple Joe-Pye weed; kidney-root; sweetscented joe pye weed; sweet Joe-Pye weed; gravel root; trumpet weed,https://en.wikipedia.org/wiki/Eutrochium_purpureum,
Exochorda racemosa,Exochorda racemosa,Exochorda racemosa; pearlbush; common pearlbush,https://en.wikipedia.org/wiki/Exochorda_racemosa,
Ficus religiosa,Ficus religiosa,Ficus religiosa; sacred fig; bodhi tree; pippala tree; peepul tree; peepal tree; ashwattha tree; Jaya Sri Maha Bodhi,https://en.wikipedia.org/wiki/Ficus_religiosa,
Filipendula rubra,Filipendula rubra,Filipendula rubra; queen-of-the-prairie,https://en.wikipedia.org/wiki/Filipendula_rubra,
Filipendula ulmaria,Filipendula ulmaria,Filipendula ulmaria; meadowsweet; mead wort; queen of the meadow; pride of the meadow; meadow-wort; meadow queen; lady of the meadow; dollof; meadsweet; bridewort; ulmaria,https://en.wikipedia.org/wiki/Filipendula_ulmaria,
Filipendula vulgaris,Filipendula vulgaris,Filipendula vulgaris; dropwort; fern-leaf dropwort,https://en.wikipedia.org/wiki/Filipendula_vulgaris,
Forsythia ovata,Forsythia,Forsythia; Forsythia; Easter tree,https://en.wikipedia.org/wiki/Forsythia,
Forsythia suspensa,Forsythia suspensa,Forsythia suspensa; weeping forsythia; golden-bell,https://en.wikipedia.org/wiki/Forsythia_suspensa,
Fragaria virginiana,Virginia strawberry,Virginia strawberry; wild strawberry; common strawberry,https://en.wikipedia.org/wiki/Virginia_strawberry,
Franklinia alatamaha,Franklinia,Franklinia; Franklinia alatamaha; Franklin tree,https://en.wikipedia.org/wiki/Franklinia,
Fraxinus mandshurica,Fraxinus mandschurica,Fraxinus mandshurica; Manchurian ash; sch; sh,https://en.wikipedia.org/wiki/Fraxinus_mandschurica,
Fraxinus ornus,Fraxinus ornus,Fraxinus ornus; manna ash; South European flowering ash,https://en.wikipedia.org/wiki/Fraxinus_ornus,
Fraxinus profunda,Fraxinus profunda,Fraxinus profunda; pumpkin ash,https://en.wikipedia.org/wiki/Fraxinus_profunda,
Fraxinus quadrangulata,Fraxinus quadrangulata,Fraxinus quadrangulata; blue ash,https://en.wikipedia.org/wiki/Fraxinus_quadrangulata,
Fremontodendron californicum,Fremontodendron californicum,Fremontodendron californicum; California flannelbush; California fremontia; flannel bush,https://en.wikipedia.org/wiki/Fremontodendron_californicum,
Fritillaria imperialis,Fritillaria imperialis,Fritillaria imperialis; crown imperial; imperial fritillary; Kaiser's crown,https://en.wikipedia.org/wiki/Fritillaria_imperialis,
Gaillardia aestivalis,Gaillardia,Gaillardia; blanket flower,https://en.wikipedia.org/wiki/Gaillardia,
Galearis spectabilis,Galearis spectabilis,Galearis spectabilis; showy orchis; showy orchid,https://en.wikipedia.org/wiki/Galearis_spectabilis,
Galium boreale,Galium boreale,Galium boreale; northern bedstraw,https://en.wikipedia.org/wiki/Galium_boreale,
Galium circaezans,Galium circaezans,Galium circaezans; licorice bedstraw; wild licorice,https://en.wikipedia.org/wiki/Galium_circaezans,
Galium verum,Galium verum,Galium verum; lady's bedstraw; yellow bedstraw,https://en.wikipedia.org/wiki/Galium_verum,
Galphimia gracilis,Galphimia gracilis,Galphimia gracilis; gold shower; shower-of-gold; slender goldshower; thryallis,https://en.wikipedia.org/wiki/Galphimia_gracilis,
Garcinia mangostana,Mangosteen,Mangosteen; purple mangosteen,https://en.wikipedia.org/wiki/Mangosteen,
Gardenia jasminoides,Gardenia jasminoides,Gardenia jasminoides; gardenia; cape jasmine; cape jessamine; danh-danh; jasmin,https://en.wikipedia.org/wiki/Gardenia_jasminoides,
Gardenia thunbergia,Gardenia thunbergia,Gardenia thunbergia; forest gardenia; mutarara; tree gardenia; white gardenia; wild gardenia; buffelsbol; stompdoring; wildekatjiepiering,https://en.wikipedia.org/wiki/Gardenia_thunbergia,
Genista tinctoria,Genista tinctoria,Genista tinctoria; dyer's greenweed; dyer's broom,https://en.wikipedia.org/wiki/Genista_tinctoria,
Gentiana acaulis,Gentiana acaulis,Gentiana acaulis; stemless gentian; trumpet gentian,https://en.wikipedia.org/wiki/Gentiana_acaulis,
Gentiana alba,Gentiana alba,Gentiana alba; plain; pale; white; cream; yellow gentian,https://en.wikipedia.org/wiki/Gentiana_alba,
Gentiana andrewsii,Gentiana andrewsii,Gentiana andrewsii; bottle gentian; closed gentian; closed bottle gentian,https://en.wikipedia.org/wiki/Gentiana_andrewsii,
Gentiana lutea,Gentiana lutea,Gentiana lutea; great yellow gentian,https://en.wikipedia.org/wiki/Gentiana_lutea,
Geranium palmatum,not found,not found,not found,
Geranium pratense,Geranium pratense,Geranium pratense; meadow crane's-bill; meadow geranium,https://en.wikipedia.org/wiki/Geranium_pratense,
Geum rivale,Geum rivale,Geum rivale; water avens; purple avens,https://en.wikipedia.org/wiki/Geum_rivale,
Gillenia stipulata,Gillenia stipulata,Gillenia stipulata; American ipecac,https://en.wikipedia.org/wiki/Gillenia_stipulata,
Gladiolus gandavensis,Gladiolus,Gladiolus,https://en.wikipedia.org/wiki/Gladiolus,
Gladiolus murielae,Gladiolus murielae,Gladiolus murielae,https://en.wikipedia.org/wiki/Gladiolus_murielae,
Glandularia canadensis,Glandularia canadensis,Glandularia canadensis; rose mock vervain,https://en.wikipedia.org/wiki/Glandularia_canadensis,
Goodyera pubescens,Goodyera pubescens,Goodyera pubescens; downy rattlesnake plantain,https://en.wikipedia.org/wiki/Goodyera_pubescens,
Gossypium tomentosum,Gossypium,Gossypium; cotton,https://en.wikipedia.org/wiki/Gossypium,
Grindelia lanceolata,Grindelia lanceolata,Grindelia lanceolata; Narrowleaf gumweed,https://en.wikipedia.org/wiki/Grindelia_lanceolata,
Guazuma ulmifolia,Guazuma ulmifolia,Guazuma ulmifolia; West Indian elm; bay cedar,https://en.wikipedia.org/wiki/Guazuma_ulmifolia,
Gunnera manicata,Gunnera manicata,Gunnera manicata; Brazilian giant-rhubarb; giant rhubarb; dinosaur food,https://en.wikipedia.org/wiki/Gunnera_manicata,
Guzmania lingulata,Guzmania lingulata,Guzmania lingulata; droophead tufted airplant; scarlet star,https://en.wikipedia.org/wiki/Guzmania_lingulata,
Gynura aurantiaca,Gynura aurantiaca,Gynura aurantiaca; purple passion; velvet plant,https://en.wikipedia.org/wiki/Gynura_aurantiaca,
Hakonechloa macra,Hakonechloa,Hakonechloa; Hakonechloa macra; Hakone grass; Japanese forest grass,https://en.wikipedia.org/wiki/Hakonechloa,
Halesia carolina,Halesia carolina,Halesia carolina; Carolina silverbell; little silverbell,https://en.wikipedia.org/wiki/Halesia_carolina,
Halesia diptera,Halesia diptera,Halesia diptera; two-wing silverbell; two-winged snowdrop tree,https://en.wikipedia.org/wiki/Halesia_diptera,
Hamamelis vernalis,Hamamelis vernalis,Hamamelis vernalis; Ozark witchhazel,https://en.wikipedia.org/wiki/Hamamelis_vernalis,
Hasteola suaveolens,Hasteola suaveolens,Hasteola suaveolens; false Indian plantain; sweet scented Indian plantain,https://en.wikipedia.org/wiki/Hasteola_suaveolens,
Hedera colchica,Hedera,Hedera; ivy; ivies,https://en.wikipedia.org/wiki/Hedera,
Hedysarum coronarium,Sulla coronaria,Sulla coronaria,https://en.wikipedia.org/wiki/Sulla_coronaria,
Heimia salicifolia,Heimia salicifolia,Heimia salicifolia; shrubby yellowcrest; sinicuichi; sun opener; willow-leaf heimia; sini,https://en.wikipedia.org/wiki/Heimia_salicifolia,
Helenium autumnale,Helenium autumnale,Helenium autumnale; common sneezeweed; large-flowered sneezeweed.,https://en.wikipedia.org/wiki/Helenium_autumnale,
Helenium flexuosum,Helenium flexuosum,Helenium flexuosum; purple sneezeweed,https://en.wikipedia.org/wiki/Helenium_flexuosum,
Helenium virginicum,Helenium virginicum,Helenium virginicum; Virginia sneezeweed,https://en.wikipedia.org/wiki/Helenium_virginicum,
Helianthella quinquenervis,Helianthella quinquenervis,Helianthella quinquenervis; fivenerve helianthella,https://en.wikipedia.org/wiki/Helianthella_quinquenervis,
Helianthus maximiliani,Helianthus maximiliani,Helianthus maximiliani; Maximilian sunflower,https://en.wikipedia.org/wiki/Helianthus_maximiliani,
Helianthus mollis,Helianthus mollis,Helianthus mollis; ashy sunflower,https://en.wikipedia.org/wiki/Helianthus_mollis,
Helianthus occidentalis,Helianthus occidentalis,Helianthus occidentalis; fewleaf sunflower; western sunflower,https://en.wikipedia.org/wiki/Helianthus_occidentalis,
Helianthus salicifolius,Helianthus salicifolius,Helianthus salicifolius; willowleaf sunflower,https://en.wikipedia.org/wiki/Helianthus_salicifolius,
Helianthus silphioides,Helianthus silphioides,Helianthus silphioides; rosinweed sunflower; Ozark sunflower.,https://en.wikipedia.org/wiki/Helianthus_silphioides,
Helianthus tuberosus,Jerusalem artichoke,Jerusalem artichoke; sunroot; sunchoke; earth apple,https://en.wikipedia.org/wiki/Jerusalem_artichoke,
Helleborus niger,Helleborus niger,Helleborus niger; Christmas rose; black hellebore; H.; nigercors; H.; ericsmithii; H.; ballardiae; black hellebore; white hellebore,https://en.wikipedia.org/wiki/Helleborus_niger,
Hemerocallis citrina,Hemerocallis citrina,Hemerocallis citrina; citron daylily; long yellow daylily,https://en.wikipedia.org/wiki/Hemerocallis_citrina,
Hemerocallis fulva,Hemerocallis fulva,Hemerocallis fulva; orange day-lily; tawny daylily; corn lily; tiger daylily; fulvous daylily; ditch lily; railroad daylily; roadside daylily; outhouse lily; wash-house lily,https://en.wikipedia.org/wiki/Hemerocallis_fulva,
